type,pts_value,pts_timescale,host_seconds,appended
video,180974894430750,1000000000,180974.89173937502,true
audio,180974856285125,1000000000,180974.89784408335,true
video,180974911097291,1000000000,180974.90904300002,true
audio,180974876285125,1000000000,180974.91911733334,true
audio,180974896285083,1000000000,180974.91916054167,true
video,180974927763916,1000000000,180974.92653833335,true
audio,180974916285125,1000000000,180974.94049745833,true
video,180974944430500,1000000000,180974.94320275,true
video,180974961097125,1000000000,180974.960857875,true
audio,180974936285125,1000000000,180974.96184495834,true
video,180974977763750,1000000000,180974.9776187917,true
audio,180974956285125,1000000000,180974.98320616668,true
video,180974994430291,1000000000,180974.99442975002,true
audio,180974976285125,1000000000,180975.00452233336,true
video,180975011096916,1000000000,180975.01126145833,true
audio,180974996285125,1000000000,180975.02591741667,true
video,180975027763500,1000000000,180975.02804137502,true
video,180975044430083,1000000000,180975.04466395834,true
audio,180975016285125,1000000000,180975.047211375,true
video,180975069430041,1000000000,180975.06536870834,true
audio,180975036285125,1000000000,180975.0685287917,true
video,180975086096625,1000000000,180975.08227158335,true
audio,180975056285083,1000000000,180975.08987133333,true
video,180975102763250,1000000000,180975.09979600002,true
audio,180975076285125,1000000000,180975.11122170836,true
video,180975119429833,1000000000,180975.11650341668,true
audio,180975096285125,1000000000,180975.13260233335,true
video,180975136096416,1000000000,180975.133879,true
video,180975152763041,1000000000,180975.15106125,true
audio,180975116285083,1000000000,180975.15385341668,true
video,180975169429625,1000000000,180975.1687611667,true
audio,180975136285125,1000000000,180975.17521062502,true
video,180975186096250,1000000000,180975.185856125,true
audio,180975156285125,1000000000,180975.196479625,true
video,180975202762791,1000000000,180975.20331283336,true
audio,180975176285125,1000000000,180975.2178055,true
video,180975227762750,1000000000,180975.22417675002,true
audio,180975196285125,1000000000,180975.23921020835,true
audio,180975216285125,1000000000,180975.23930066667,true
video,180975244429333,1000000000,180975.241201125,true
video,180975261095958,1000000000,180975.257686,true
audio,180975236285125,1000000000,180975.26052912502,true
video,180975277762541,1000000000,180975.27550191668,true
audio,180975256285125,1000000000,180975.2818744167,true
video,180975294429125,1000000000,180975.29257425002,true
audio,180975276285125,1000000000,180975.3032482917,true
video,180975311095750,1000000000,180975.30953525,true
audio,180975296285125,1000000000,180975.32459937502,true
video,180975327762333,1000000000,180975.32700183336,true
video,180975344428875,1000000000,180975.34459583333,true
audio,180975316285125,1000000000,180975.34578441668,true
video,180975361095541,1000000000,180975.36133837502,true
audio,180975336285083,1000000000,180975.36721141668,true
video,180975386095416,1000000000,180975.38101112502,true
audio,180975356285125,1000000000,180975.38868158334,true
video,180975402762000,1000000000,180975.39775583334,true
audio,180975376285125,1000000000,180975.40988858335,true
video,180975419428583,1000000000,180975.414969625,true
audio,180975396285083,1000000000,180975.43128479167,true
video,180975436095208,1000000000,180975.43172570833,true
video,180975452761791,1000000000,180975.44964537502,true
audio,180975416285125,1000000000,180975.45252475,true
video,180975469428375,1000000000,180975.46732325002,true
audio,180975436285125,1000000000,180975.47391687502,true
video,180975486095000,1000000000,180975.48422079167,true
audio,180975456285125,1000000000,180975.49516154168,true
video,180975502761625,1000000000,180975.50204116668,true
audio,180975476285125,1000000000,180975.51663854168,true
video,180975519428208,1000000000,180975.51950854168,true
video,180975536094791,1000000000,180975.536367875,true
audio,180975496285125,1000000000,180975.53784379168,true
video,180975561094708,1000000000,180975.55670504167,true
audio,180975516285125,1000000000,180975.559218625,true
audio,180975536285125,1000000000,180975.55926462502,true
video,180975577761291,1000000000,180975.57438183334,true
audio,180975556285083,1000000000,180975.58053579167,true
video,180975594427875,1000000000,180975.59106220835,true
audio,180975576285125,1000000000,180975.601872625,true
video,180975611094500,1000000000,180975.60784970835,true
audio,180975596285125,1000000000,180975.62320125,true
video,180975627761125,1000000000,180975.62475204168,true
video,180975644427708,1000000000,180975.64250833335,true
audio,180975616285083,1000000000,180975.64454695836,true
video,180975661094291,1000000000,180975.65911966667,true
audio,180975636285125,1000000000,180975.66588100002,true
video,180975677760916,1000000000,180975.676000375,true
audio,180975656285125,1000000000,180975.6871960417,true
video,180975694427500,1000000000,180975.69390604168,true
audio,180975676285125,1000000000,180975.70856333335,true
video,180975711094083,1000000000,180975.71138395835,true
audio,180975696285125,1000000000,180975.72986737502,true
video,180975736094000,1000000000,180975.731766,true
video,180975752760666,1000000000,180975.7497835417,true
audio,180975716285125,1000000000,180975.75112741668,true
video,180975769427208,1000000000,180975.76759254167,true
audio,180975736285125,1000000000,180975.77252629166,true
video,180975786093791,1000000000,180975.78463170835,true
audio,180975756285125,1000000000,180975.793838125,true
video,180975802760416,1000000000,180975.80151470835,true
audio,180975776285125,1000000000,180975.81518033333,true
video,180975819427000,1000000000,180975.8185670417,true
video,180975836093583,1000000000,180975.83589391666,true
audio,180975796285125,1000000000,180975.8364935,true
video,180975852760250,1000000000,180975.85268495834,true
audio,180975816285125,1000000000,180975.857900375,true
video,180975869426833,1000000000,180975.86961720834,true
audio,180975836285083,1000000000,180975.87923766667,true
video,180975886093375,1000000000,180975.88624179168,true
audio,180975856285125,1000000000,180975.90054029168,true
video,180975911093250,1000000000,180975.90602195833,true
audio,180975876285125,1000000000,180975.92194458336,true
audio,180975896285083,1000000000,180975.92200558336,true
video,180975927759875,1000000000,180975.92300433334,true
video,180975944426500,1000000000,180975.94011133336,true
audio,180975916285125,1000000000,180975.94314745834,true
video,180975961093083,1000000000,180975.95819766668,true
audio,180975936285125,1000000000,180975.964496375,true
video,180975977759708,1000000000,180975.97561875,true
audio,180975956285125,1000000000,180975.985833,true
